metric,method,n,mean,std,median
heldout_uniform_mean,most_played_baseline,5,0.4921729896835806,6.206335383118183e-17,0.49217298968358053
heldout_uniform_mean,RANDOM_SEARCH,5,0.5178453330819404,0.001039609746718713,0.5179134722472715
heldout_uniform_mean,GREEDY_HILLCLIMB,5,0.5241205259159427,0.001006833588579965,0.5243048309717303
heldout_uniform_mean,STATIC,5,0.5258244451219808,0.0016947163937520275,0.525185575497933
heldout_uniform_mean,COEVOLVE,5,0.5251301954255972,0.0012846276935201194,0.5253256979705475
heldout_worst_band,most_played_baseline,5,0.48787251651859975,0.0,0.48787251651859975
heldout_worst_band,RANDOM_SEARCH,5,0.5134617865869636,0.0006362487808402484,0.5132800614000272
heldout_worst_band,GREEDY_HILLCLIMB,5,0.5202453371013928,0.0008633834040553746,0.5202216879931291
heldout_worst_band,STATIC,5,0.5207823522066746,0.0014529442657068047,0.5209204936835719
heldout_worst_band,COEVOLVE,5,0.5208581081718782,0.0020154496606353957,0.5213004482498061
