metric,method_a,method_b,mean_a,mean_b,delta,wilcoxon_p,A12,significant_p05
heldout_uniform_mean,most_played_baseline,RANDOM_SEARCH,0.49303041852464785,0.5174902938973022,-0.024459875372654316,1.0,0.0,False
heldout_uniform_mean,most_played_baseline,GREEDY_HILLCLIMB,0.49303041852464785,0.5238240877245631,-0.030793669199915275,1.0,0.0,False
heldout_uniform_mean,most_played_baseline,STATIC,0.49303041852464785,0.5263087490964433,-0.03327833057179547,1.0,0.0,False
heldout_uniform_mean,most_played_baseline,COEVOLVE,0.49303041852464785,0.52522133625687,-0.0321909177322221,1.0,0.0,False
heldout_uniform_mean,RANDOM_SEARCH,GREEDY_HILLCLIMB,0.5174902938973022,0.5238240877245631,-0.006333793827260958,1.0,0.0,False
heldout_uniform_mean,RANDOM_SEARCH,STATIC,0.5174902938973022,0.5263087490964433,-0.00881845519914115,1.0,0.0,False
heldout_uniform_mean,RANDOM_SEARCH,COEVOLVE,0.5174902938973022,0.52522133625687,-0.007731042359567786,1.0,0.0,False
heldout_uniform_mean,GREEDY_HILLCLIMB,STATIC,0.5238240877245631,0.5263087490964433,-0.0024846613718801924,0.75,0.0,False
heldout_uniform_mean,GREEDY_HILLCLIMB,COEVOLVE,0.5238240877245631,0.52522133625687,-0.0013972485323068273,0.5,0.1111111111111111,False
heldout_uniform_mean,STATIC,COEVOLVE,0.5263087490964433,0.52522133625687,0.001087412839573365,0.25,0.7777777777777778,False
heldout_worst_band,most_played_baseline,RANDOM_SEARCH,0.48866092228361846,0.5132882714565427,-0.024627349172924196,1.0,0.0,False
heldout_worst_band,most_played_baseline,GREEDY_HILLCLIMB,0.48866092228361846,0.519740370716199,-0.031079448432580592,1.0,0.0,False
heldout_worst_band,most_played_baseline,STATIC,0.48866092228361846,0.5200180008795431,-0.031357078595924626,1.0,0.0,False
heldout_worst_band,most_played_baseline,COEVOLVE,0.48866092228361846,0.5200747152341819,-0.03141379295056346,1.0,0.0,False
heldout_worst_band,RANDOM_SEARCH,GREEDY_HILLCLIMB,0.5132882714565427,0.519740370716199,-0.006452099259656396,1.0,0.0,False
heldout_worst_band,RANDOM_SEARCH,STATIC,0.5132882714565427,0.5200180008795431,-0.00672972942300043,1.0,0.0,False
heldout_worst_band,RANDOM_SEARCH,COEVOLVE,0.5132882714565427,0.5200747152341819,-0.006786443777639262,1.0,0.0,False
heldout_worst_band,GREEDY_HILLCLIMB,STATIC,0.519740370716199,0.5200180008795431,-0.0002776301633440337,1.0,0.5555555555555556,False
heldout_worst_band,GREEDY_HILLCLIMB,COEVOLVE,0.519740370716199,0.5200747152341819,-0.00033434451798286524,1.0,0.3333333333333333,False
heldout_worst_band,STATIC,COEVOLVE,0.5200180008795431,0.5200747152341819,-5.6714354638831566e-05,1.0,0.5555555555555556,False
