gen,repertoire_diversity,opponent_diversity,hof_size
0,0.63604081421056,0.42408499962882623,5.0
1,0.7858026016414519,0.3724521722033779,5.0
2,0.8065487090918314,0.34078976534223765,5.0
3,0.7932557824951197,0.3230337210707393,5.0
4,0.7562352247506097,0.3075452494917036,5.0
5,0.6942195057869497,0.30047364929297726,5.0
6,0.6524516905827357,0.2911213561086693,5.0
7,0.5983571503525619,0.2851722352179532,5.0
8,0.569205000161907,0.28908340708842517,5.0
9,0.5352279099158598,0.2853053285689713,5.0
10,0.5138845537656623,0.2825591483533739,5.0
11,0.5167889381614785,0.28026058865276277,5.0
12,0.5091052054177351,0.28287162553467543,5.0
13,0.48366468815055247,0.28224006604433144,5.0
14,0.46271733143851074,0.2838081150086055,5.0
15,0.45255360225576585,0.28262808851005894,5.0
16,0.44659313354669944,0.28405465529106205,5.0
17,0.4337132893360309,0.28502937672948536,5.0
18,0.4305167274351989,0.2844998784872785,5.0
19,0.4218446460521274,0.28302027415114056,5.0
20,0.4319874627845451,0.291035165306447,5.0
21,0.4461960518896588,0.2860928220591576,5.0
22,0.43427885768138286,0.2865873942155561,5.0
23,0.41640026111056916,0.2864922134384133,5.0
24,0.4232938400520155,0.2815487316773005,5.0
25,0.4320780796652323,0.2877497350894695,5.0
26,0.4129306245757887,0.2878851600646209,5.0
27,0.3991916996555606,0.29074891762952765,5.0
28,0.38119154674121236,0.2878046288913456,5.0
29,0.3888455723374867,0.28386545502852045,5.0
30,0.39594615404058225,0.2852513757359859,5.0
31,0.3882515710118003,0.28176774861624876,5.0
32,0.36939937555940977,0.2840914913191227,5.0
33,0.3579386730806436,0.28160929014590014,5.0
34,0.3543698570760829,0.2789815004054104,5.0
35,0.33366485159538384,0.28180400931160415,5.0
36,0.3438868188142556,0.28161009279950766,5.0
37,0.35473125681865963,0.28186585207327436,5.0
38,0.34675998487182785,0.2875945205972133,5.0
39,0.341368714100381,0.2857868165879101,5.0
40,0.34018859246162003,0.2857443759573865,5.0
41,0.3274488192560176,0.2833443006793224,5.0
42,0.35126770337507607,0.28397252389560207,5.0
43,0.3426941571876159,0.28364306776054693,5.0
44,0.35276408023940353,0.2851629025553045,5.0
45,0.3572805281849178,0.2794718157892705,5.0
46,0.3598131775636232,0.2813919999059837,5.0
47,0.35474542977461626,0.2810043051386723,5.0
48,0.338443194735062,0.2837469165350805,5.0
49,0.35902404003247823,0.2824209626179793,5.0
